Python 2.6.5 (r265:79096, Mar 19 2010, 21:48:26) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.

    ****************************************************************
    Personal firewall software may warn about the connection IDLE
    makes to its subprocess using this computer's internal loopback
    interface.  This connection is not visible on any external
    interface and no data is sent to or received from the Internet.
    ****************************************************************
    
IDLE 2.6.5      
>>> ================================ RESTART ================================
>>> 

Warning (from warnings module):
  File "C:\Python26\ArcGIS10.0\lib\site-packages\MySQLdb\__init__.py", line 34
    from sets import ImmutableSet
DeprecationWarning: the sets module is deprecated
record 15301: baidu:(116.407847,39.865786)---->origin:(116.395213471,39.8580316862)
record 15302: baidu:(116.377778,39.840438)---->origin:(116.365089395,39.8330444842)
record 15303: baidu:(116.424302,39.852292)---->origin:(116.411634456,39.8446827345)
record 15304: baidu:(116.376979,39.840257)---->origin:(116.364286942,39.8328792696)
record 15305: baidu:(116.394738,39.841573)---->origin:(116.382114992,39.833898164)
record 15306: baidu:(116.396231,39.848062)---->origin:(116.383604495,39.8403684732)
record 15307: baidu:(116.377523,39.871746)---->origin:(116.364805431,39.8643474908)
record 15308: baidu:(116.412125,39.856094)---->origin:(116.399493688,39.8483557441)
record 15309: baidu:(116.440243,39.854543)---->origin:(116.427495005,39.8472211579)
record 15310: baidu:(116.398895,39.867537)---->origin:(116.386256308,39.859813273)
record 15311: baidu:(116.381731,39.856931)---->origin:(116.369042668,39.8494547199)
record 15312: baidu:(116.427705,39.872058)---->origin:(116.415006739,39.8644979634)
record 15313: baidu:(116.381564,39.856869)---->origin:(116.368874975,39.8493958988)
record 15314: baidu:(116.457593,39.863813)---->origin:(116.444786901,39.8567578247)
record 15315: baidu:(116.398807,39.867496)---->origin:(116.386168185,39.8597729689)
record 15316: baidu:(116.384954,39.86481)---->origin:(116.372273312,39.8572722914)
record 15317: baidu:(116.4254,39.876044)---->origin:(116.41271171,39.8684459192)
record 15318: baidu:(116.384847,39.870632)---->origin:(116.372162716,39.8630950422)
record 15319: baidu:(116.398809,39.867496)---->origin:(116.386170188,39.8597729532)
record 15320: baidu:(116.38804,39.854972)---->origin:(116.37538031,39.8473850134)
record 15321: baidu:(116.385544,39.845666)---->origin:(116.372884275,39.8381245602)
record 15322: baidu:(116.441091,39.867697)---->origin:(116.428328422,39.8603874098)
record 15323: baidu:(116.398807,39.867544)---->origin:(116.386168158,39.8598209593)
record 15324: baidu:(116.407687,39.865793)---->origin:(116.395053585,39.8580385423)
record 15325: baidu:(116.434614,39.850146)---->origin:(116.421898324,39.8427178478)
record 15326: baidu:(116.377765,39.840161)---->origin:(116.365076632,39.832767847)
record 15327: baidu:(116.405205,39.867274)---->origin:(116.392571633,39.8595202874)
record 15328: baidu:(116.415529,39.850714)---->origin:(116.402895326,39.8430008063)
record 15329: baidu:(116.416118,39.85088)---->origin:(116.403482484,39.8431718072)
record 15330: baidu:(116.415548,39.850354)---->origin:(116.402914665,39.8426411058)
record 15331: baidu:(116.421857,39.84496)---->origin:(116.409207933,39.8373187008)
record 15332: baidu:(116.449472,39.871767)---->origin:(116.436675595,39.8646041166)
record 15333: baidu:(116.374554,39.851773)---->origin:(116.361838332,39.8444385014)
record 15334: baidu:(116.381788,39.856814)---->origin:(116.369100036,39.8493366843)
record 15335: baidu:(116.416265,39.850651)---->origin:(116.403629305,39.8429442087)
record 15336: baidu:(116.434604,39.852881)---->origin:(116.421885429,39.8454515992)
record 15337: baidu:(116.371275,39.851725)---->origin:(116.358545245,39.8444543312)
