Python 2.6.5 (r265:79096, Mar 19 2010, 21:48:26) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.

    ****************************************************************
    Personal firewall software may warn about the connection IDLE
    makes to its subprocess using this computer's internal loopback
    interface.  This connection is not visible on any external
    interface and no data is sent to or received from the Internet.
    ****************************************************************
    
IDLE 2.6.5      
>>> ================================ RESTART ================================
>>> 

Warning (from warnings module):
  File "C:\Python26\ArcGIS10.0\lib\site-packages\MySQLdb\__init__.py", line 34
    from sets import ImmutableSet
DeprecationWarning: the sets module is deprecated
baidu:(116.316072103,39.8989772278)---->origin:(116.303489443,39.8917015864)
baidu:(116.3705795,39.8728799432)---->origin:(116.357831143,39.8656168761)
baidu:(116.407859117,39.8143846942)---->origin:(116.395267077,39.8066458)
baidu:(116.377645359,39.8717880394)---->origin:(116.364928335,39.8643871198)
baidu:(116.383673624,39.8214349103)---->origin:(116.371026731,39.8139345831)
baidu:(116.324150154,39.8822391399)---->origin:(116.311492725,39.8750903408)
baidu:(116.297187283,39.8306068003)---->origin:(116.284763531,39.8230819515)
baidu:(116.283911091,39.8792862853)---->origin:(116.271480483,39.8717111829)
baidu:(116.445631742,39.8674362961)---->origin:(116.432850222,39.8602099673)
baidu:(116.445542913,39.8691869742)---->origin:(116.432760825,39.8619587518)
baidu:(116.270661097,39.8997847248)---->origin:(116.258208924,39.8923306352)
baidu:(116.420433015,39.8604948197)---->origin:(116.40777355,39.8528293301)
baidu:(116.168946742,39.8162108189)---->origin:(116.156376212,39.8085407453)
baidu:(116.291555188,39.8446655755)---->origin:(116.279138409,39.8371010233)
baidu:(116.294662293,39.8299456533)---->origin:(116.282249803,39.8224021984)
baidu:(116.295017798,39.836008483)---->origin:(116.282598551,39.8284653597)
baidu:(116.314729288,39.8973041187)---->origin:(116.302156307,39.8900057835)
baidu:(116.20455817,39.8559614875)---->origin:(116.191885196,39.8488324036)
baidu:(116.327962334,39.8937629205)---->origin:(116.315280938,39.8866698836)
baidu:(116.430932224,39.8720854465)---->origin:(116.418217976,39.864582249)
baidu:(116.420296727,39.8623509309)---->origin:(116.407636275,39.8546832139)
baidu:(116.444948381,39.872207977)---->origin:(116.432167385,39.8649687671)
baidu:(116.353419673,39.8719061374)---->origin:(116.34063213,39.8648929079)
